task_id,City,T_clear,E_clear,T_dark,E_dark,Delta_T,Delta_E,latitude,hdd,cdd,ghi,t_ave,C_Total_GJ,C_Day_GJ,C_Night_GJ,H_Total_GJ,H_Day_GJ,H_Night_GJ,Total_HVAC_GJ,Annual_DNI_kWhm2,Annual_DHI_kWhm2,t_avg,t_min,t_max,avg_rh,avg_ws,shgc_clear,shgc_dark,Delta_SHGC,Ave_SHGC
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.6_ec0.4_td0.4_ed0.7,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.6,0.4,0.4,0.7,0.2,0.3,-29.88,824.8,3605.1,1847.31,19.53,260.8286,190.1333,70.6952,26.7981,6.1732,20.625,287.6267,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.659248,0.492892,0.166356,0.57607
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.8_ec0.6_td0.3_ed0.6,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.8,0.6,0.3,0.6,0.5,0,-29.88,824.8,3605.1,1847.31,19.53,252.8058,184.9338,67.8719,26.7086,6.0972,20.6114,279.5144,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.818839,0.415561,0.403278,0.6172
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.5_ec0.5_td0.2_ed0.7,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.5,0.5,0.2,0.7,0.3,0.2,-29.88,824.8,3605.1,1847.31,19.53,239.7877,175.717,64.0707,29.7778,6.8181,22.9597,269.5655,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.577491,0.332617,0.244874,0.455054
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.7_ec0.2_td0.5_ed0.5,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.7,0.2,0.5,0.5,0.2,0.3,-29.88,824.8,3605.1,1847.31,19.53,275.663,200.6817,74.9814,24.3406,5.6168,18.7238,300.0036,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.741935,0.577491,0.164444,0.659713
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.1_ec0.1_td0.1_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.1,0.1,0.1,0.9,0,0.8,-29.88,824.8,3605.1,1847.31,19.53,224.6826,164.716,59.9667,32.5101,7.2464,25.2637,257.1927,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.285257,0.245726,0.039531,0.2654915
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.3_ec0.3_td0.3_ed0.8,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.3,0.3,0.3,0.8,0,0.5,-29.88,824.8,3605.1,1847.31,19.53,247.6992,180.8061,66.8931,29.9054,6.8561,23.0492,277.6046,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.427877,0.409899,0.017978,0.418888
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.1_ec0.2_td0.1_ed0.7,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.1,0.2,0.1,0.7,0,0.5,-29.88,824.8,3605.1,1847.31,19.53,229.3442,168.5821,60.7621,33.0876,7.4559,25.6317,262.4318,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.280975,0.254098,0.026877,0.2675365
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.9_ec0.9_td0.1_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.9,0.9,0.1,0.9,0.8,0,-29.88,824.8,3605.1,1847.31,19.53,225.8,165.654,60.146,29.0244,6.5038,22.5206,254.8244,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.901537,0.245726,0.655811,0.5736315
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.7_ec0.2_td0.5_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.7,0.2,0.5,0.9,0.2,0.7,-29.88,824.8,3605.1,1847.31,19.53,268.7071,195.3884,73.3187,24.6208,5.6669,18.9539,293.3279,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.741935,0.570103,0.171832,0.656019
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.1_ec0.9_td0.1_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.1,0.9,0.1,0.9,0,0,-29.88,824.8,3605.1,1847.31,19.53,224.4129,164.4952,59.9177,37.9209,8.8874,29.0334,262.3338,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.245726,0.245726,0,0.245726
